DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2024-12-22,Adoragar,Level 10 Crypt,Gnome Workshop Chest,4,MY_CLAN
2024-12-22,Melchizedek,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,Melchizedek,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,Melchizedek,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,Melchizedek,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,Melchizedek,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,Guyren,Level 10 Crypt,Sand Chest,4,MY_CLAN
2024-12-22,Orodfed,Level 15 Crypt,Ore Chest,17,MY_CLAN
2024-12-22,Guyren,Level 10 Crypt,Bone Chest,4,MY_CLAN
2024-12-22,Adoragar,Level 10 Crypt,Sand Chest,4,MY_CLAN
2024-12-22,Melchizedek,Level 5 Crypt,Infernal Chest,1,MY_CLAN
2024-12-22,Melchizedek,Level 15 Crypt,Barbarian Chest,17,MY_CLAN
2024-12-22,Pinto,Level 5 Crypt,Sand Chest,1,MY_CLAN
2024-12-22,Adoragar,Level 10 Crypt,Barbarian Chest,4,MY_CLAN
2024-12-22,Marond,Level 15 rare Crypt,Rare Dragon Chest,25,MY_CLAN
2024-12-22,Marond,Level 15 Crypt,Cobra Chest,17,MY_CLAN
2024-12-22,Marond,Level 10 rare Crypt,Rare Dragon Chest,6,MY_CLAN
2024-12-22,Marond,Level 20 rare Crypt,Rare Dragon Chest,126,MY_CLAN
2024-12-22,Maedfanir,Level 10 Crypt,Ore Chest,4,MY_CLAN
2024-12-22,Maedfanir,Level 10 Crypt,Forgotten Chest,4,MY_CLAN
2024-12-22,Maedfanir,Level 10 Crypt,Cobra Chest,4,MY_CLAN
2024-12-22,Maedfanir,Level 5 Crypt,Cobra Chest,1,MY_CLAN
2024-12-22,Maedfanir,Level 5 Crypt,Infernal Chest,1,MY_CLAN
2024-12-22,Freya,Level 25 Crypt,Sand Chest,275,MY_CLAN
2024-12-22,Freya,Level 25 Crypt,Fire Chest,275,MY_CLAN
2024-12-22,Maedfanir,Level 10 Crypt,Forgotten Chest,4,MY_CLAN
2024-12-22,Tagoal,Level 15 Crypt,Orc Chest,17,MY_CLAN
2024-12-22,Vessler,Level 10 Crypt,Barbarian Chest,4,MY_CLAN
2024-12-22,Targash,Level 20 Crypt,Cobra Chest,84,MY_CLAN
2024-12-22,Noli,Level 15 epic Crypt,Minotaur Chest,34,MY_CLAN
2024-12-22,Targash,Level 20 Crypt,Fire Chest,84,MY_CLAN
2024-12-22,Noli,Level 15 Crypt,Sand Chest,17,MY_CLAN
2024-12-22,Adolbine,Level 10 Crypt,Elegant Chest,4,MY_CLAN
2024-12-22,Adolbine,Level 10 Crypt,Infernal Chest,4,MY_CLAN
2024-12-22,Dementus,Level 15 Crypt,Fire Chest,17,MY_CLAN
2024-12-22,Targie,Arena,Gladiator's Chest,2,MY_CLAN
2024-12-22,Adolbine,Level 10 Crypt,Stone Chest,4,MY_CLAN
2024-12-22,Lerlin,Level 10 Crypt,Bone Chest,4,MY_CLAN
2024-12-22,Targie,Level 10 Crypt,Cobra Chest,4,MY_CLAN
2024-12-22,Lerlin,Level 10 Crypt,Forgotten Chest,4,MY_CLAN
2024-12-22,Lerlin,Level 10 Crypt,Bone Chest,4,MY_CLAN
2024-12-22,Goldenknight,Level 20 Crypt,Sand Chest,84,MY_CLAN
2024-12-22,Nordman,Level 10 Crypt,Sand Chest,4,MY_CLAN
2024-12-22,Goldenknight,Level 15 Crypt,Sand Chest,17,MY_CLAN
2024-12-22,Dementus,Level 15 Crypt,Elegant Chest,17,MY_CLAN
2024-12-22,Goldenknight,Level 20 Crypt,Stone Chest,84,MY_CLAN
2024-12-22,Dementus,Level 15 epic Crypt,Priest's Chest,34,MY_CLAN
2024-12-22,Nordman,Level 10 Crypt,Cobra Chest,4,MY_CLAN
2024-12-22,Maedfanir,Level 15 Citadel,Elven Citadel Chest,17,MY_CLAN
2024-12-22,Nordman,Level 10 Crypt,Bone Chest,4,MY_CLAN
2024-12-22,Dementus,Level 15 epic Crypt,Scarab Chest,34,MY_CLAN
2024-12-22,Dementus,Level 10 Crypt,Barbarian Chest,4,MY_CLAN
2024-12-22,DingDong 2,Level 15 Crypt,Orc Chest,17,MY_CLAN
2024-12-22,Targie,Level 10 Crypt,Sand Chest,4,MY_CLAN
2024-12-22,DingDong 2,Level 15 Crypt,Bone Chest,17,MY_CLAN
2024-12-22,Marching Turnip,Level 15 Crypt,Fire Chest,17,MY_CLAN
2024-12-22,Targie,Level 10 Crypt,Orc Chest,4,MY_CLAN
2024-12-22,Adolbine,Level 10 Crypt,Forgotten Chest,4,MY_CLAN
2024-12-22,Targie,Level 10 rare Crypt,Rare Dragon Chest,6,MY_CLAN
2024-12-22,Targie,Level 10 rare Crypt,Rare Dragon Chest,6,MY_CLAN
2024-12-22,Marching Turnip,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,Marching Turnip,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,Marching Turnip,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,Marching Turnip,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,Marching Turnip,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,Marching Turnip,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,Marching Turnip,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,Marching Turnip,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,Marching Turnip,Union of Triumph personal reward,Union Chest,100,MY_CLAN
2024-12-22,tledil,Level 10 Crypt,Barbarian Chest,4,MY_CLAN
2024-12-22,Agarus,Level 10 Crypt,Ore Chest,4,MY_CLAN
2024-12-22,tledil,Level 10 Crypt,Elegant Chest,4,MY_CLAN
2024-12-22,Maedfanir,Level 10 Crypt,Barbarian Chest,4,MY_CLAN
2024-12-22,Agarus,Level 10 Crypt,Barbarian Chest,4,MY_CLAN
2024-12-22,Vudor,Level 15 Crypt,Cobra Chest,17,MY_CLAN
2024-12-22,Maedfanir,Level 10 Crypt,Elegant Chest,4,MY_CLAN
2024-12-22,tledil,Level 10 Crypt,Barbarian Chest,4,MY_CLAN
2024-12-22,ammar,Level 15 Crypt,Bone Chest,17,MY_CLAN
2024-12-22,Maedfanir,Level 10 Crypt,Mayan Chest,4,MY_CLAN
2024-12-22,ammar,Level 5 Crypt,Cobra Chest,1,MY_CLAN
2024-12-22,Maedfanir,Level 10 Crypt,Mayan Chest,4,MY_CLAN
2024-12-22,Vudor,Level 15 Crypt,Infernal Chest,17,MY_CLAN
2024-12-22,tledil,Level 5 Crypt,Barbarian Chest,1,MY_CLAN
2024-12-22,ammar,Level 10 Crypt,Fire Chest,4,MY_CLAN
2024-12-22,Maedfanir,Level 15 Citadel,Elven Citadel Chest,17,MY_CLAN
2024-12-22,Maedfanir,Level 10 Crypt,Gnome Workshop Chest,4,MY_CLAN
2024-12-22,Marond,Level 15 Crypt,Graves,17,MY_CLAN
2024-12-22,Marond,Level 15 Citadel,Goon Citadel Chest,17,MY_CLAN
2024-12-22,Agarus,Level 10 Crypt,Fire Chest,4,MY_CLAN
2024-12-22,Marching Turnip,Level 10 Crypt,Bone Chest,4,MY_CLAN
2024-12-22,Briar,Arena,Gladiator's Chest,2,MY_CLAN
2024-12-22,Marond,Level 10 Crypt,Gnome Workshop Chest,4,MY_CLAN
2024-12-22,Marond,Level 15 rare Crypt,Rare Dragon Chest,25,MY_CLAN
2024-12-22,Marching Turnip,Level 10 Crypt,Cobra Chest,4,MY_CLAN
2024-12-22,Marond,Level 15 Crypt,Cobra Chest,17,MY_CLAN
2024-12-22,Marching Turnip,Level 10 Crypt,Barbarian Chest,4,MY_CLAN
2024-12-22,Briar,Level 5 Crypt,Cobra Chest,1,MY_CLAN
2024-12-22,Pinto,Level 5 Crypt,Orc Chest,1,MY_CLAN
2024-12-22,Briar,Level 10 Crypt,Cobra Chest,4,MY_CLAN
2024-12-22,GrumpysBotched,Arena,Gladiator's Chest,2,MY_CLAN
2024-12-22,Pinto,Level 5 Crypt,Orc Chest,1,MY_CLAN
2024-12-22,GrumpysBotched,Level 15 Crypt,Sand Chest,17,MY_CLAN
2024-12-22,Maedfanir,Level 10 Crypt,Orc Chest,4,MY_CLAN
2024-12-22,Elbrinan,Level 10 Crypt,Fire Chest,4,MY_CLAN
2024-12-22,Maedfanir,Level 10 Crypt,Forgotten Chest,4,MY_CLAN
2024-12-22,GrumpysBotched,Level 15 Crypt,Bone Chest,17,MY_CLAN
2024-12-22,Elbrinan,Level 15 rare Crypt,Rare Dragon Chest,25,MY_CLAN
2024-12-22,Goldenknight,Level 15 Crypt,Gnome Workshop Chest,17,MY_CLAN
2024-12-22,Marond,Level 15 Crypt,Fire Chest,17,MY_CLAN
2024-12-22,Goldenknight,Level 15 Crypt,Mayan Chest,17,MY_CLAN
2024-12-22,Maedfanir,Level 10 Crypt,Elegant Chest,4,MY_CLAN
2024-12-22,Briar,Level 10 Crypt,Cobra Chest,4,MY_CLAN
2024-12-22,Elbrinan,Level 15 Crypt,Bone Chest,17,MY_CLAN
2024-12-22,Elbrinan,Level 10 Crypt,Forgotten Chest,4,MY_CLAN
2024-12-22,Marching Turnip,Level 10 Crypt,Bone Chest,4,MY_CLAN
2024-12-22,Pinto,Level 10 Citadel,Elven Citadel Chest,4,MY_CLAN
2024-12-22,GrumpysBotched,Level 15 Crypt,Forgotten Chest,17,MY_CLAN
2024-12-22,Marond,Level 15 Crypt,Barbarian Chest,17,MY_CLAN
2024-12-22,Pinto,Level 10 Crypt,Ore Chest,4,MY_CLAN
2024-12-22,Marond,Level 15 Citadel,Goon Citadel Chest,17,MY_CLAN
2024-12-22,Agarus,Level 10 Crypt,Infernal Chest,4,MY_CLAN
2024-12-22,Maedfanir,Level 10 rare Crypt,Rare Dragon Chest,6,MY_CLAN
2024-12-22,Pinto,Level 10 Crypt,Gnome Workshop Chest,4,MY_CLAN
2024-12-22,Agarus,Level 10 Crypt,Bone Chest,4,MY_CLAN
2024-12-22,RG,Level 10 Crypt,Fire Chest,4,MY_CLAN
2024-12-22,Mark Fish,Level 20 rare Crypt,Rare Dragon Chest,126,MY_CLAN
2024-12-22,RG,Level 10 Crypt,Barbarian Chest,4,MY_CLAN
2024-12-22,Marching Turnip,Level 10 Crypt,Gnome Workshop Chest,4,MY_CLAN
2024-12-22,Pinto,Level 10 Crypt,Gnome Workshop Chest,4,MY_CLAN
2024-12-22,Marching Turnip,Level 10 Crypt,Bone Chest,4,MY_CLAN
2024-12-22,Pinto,Level 10 Crypt,Cobra Chest,4,MY_CLAN
2024-12-22,Marching Turnip,Level 10 Crypt,Gnome Workshop Chest,4,MY_CLAN
2024-12-22,Marching Turnip,Level 10 Crypt,Gnome Workshop Chest,4,MY_CLAN
2024-12-22,Mark Fish,Level 20 Crypt,Stone Chest,84,MY_CLAN
2024-12-22,Marching Turnip,Level 10 Crypt,Ore Chest,4,MY_CLAN
2024-12-22,Railfiring,Level 10 Crypt,Eons Chest,4,MY_CLAN
2024-12-22,Pinto,Level 10 Crypt,Orc Chest,4,MY_CLAN
2024-12-22,Railfiring,Level 10 Crypt,Bone Chest,4,MY_CLAN
2024-12-22,Railfiring,Level 10 Crypt,Sand Chest,4,MY_CLAN
2024-12-22,Railfiring,Level 15 Crypt,Sand Chest,17,MY_CLAN
2024-12-22,Railfiring,Level 10 Crypt,Infernal Chest,4,MY_CLAN
2024-12-22,Marching Turnip,Level 10 Crypt,Bone Chest,4,MY_CLAN
2024-12-22,Marching Turnip,Level 10 Crypt,Bone Chest,4,MY_CLAN
2024-12-22,Railfiring,Level 10 Crypt,Sand Chest,4,MY_CLAN
